series_name,series_code
Agricultural land (% of land area),AG.LND.AGRI.ZS
Arable land (% of land area),AG.LND.ARBL.ZS
CO2 emissions by sector (Mt CO2 eq) - Building,AG.LND.FRST.ZS
CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,CC.CO2.EMSE.BF
CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,CC.CO2.EMSE.BL
CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EH
CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,CC.CO2.EMSE.EL
CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CC.CO2.EMSE.EN
CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CC.CO2.EMSE.FE
CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CC.CO2.EMSE.IL
CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,CC.CO2.EMSE.IP
CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,CC.CO2.EMSE.LU
CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,CC.CO2.EMSE.MC
CO2 emissions by sector (Mt CO2 eq) - Transportation,CC.CO2.EMSE.OF
Electricity net consumption,CC.CO2.EMSE.TR
GDP (current US$),CC.EG.CONS.COAL.PC
GDP growth (annual %),CC.EG.CONS.GAS.PC
GDP per capita (current US$),CC.EG.CONS.OIL.PC
GHG growth (annual %),CC.ELEC.CON
Per capita daily coal consumption (short tons per capita per day),CC.GHG.GRPE
Per capita daily gas consumption (thousand cubic feet per capita per day),CC.GHG.PECA
Per capita daily oil consumption (barrels per capita per day),NY.GDP.MKTP.CD
Per capita GHG emissions (tons/capita),NY.GDP.MKTP.KD.ZG
"Population, total",NY.GDP.PCAP.CD
Share of surface occupied by forest (% of total),SP.POP.TOTL
Urban population (% of total population),SP.URB.TOTL.IN.ZS
