,country_name,year,Total_Population,CO2_Emissions_by_Sector_Building,CO2_Emissions_by_Sector_Bunker_Fuels,CO2_Emissions_by_Sector_Electricity_Heat,CO2_Emissions_by_Sector_Energy,CCO2_Emissions_by_Sector_Industrial_Processes,CO2_Emissions_by_Sector_Land_Use_Change_and_Forestry,CO2_Emissions_by_Sector_Manufacturing_Construction,CO2_Emissions_by_Sector_Other_Fuel_Combustion,CO2_Emissions_by_Sector_Transportation,Net_Electricity_Consumption,income_group
0,Albania,1999,3108778.0,0.24,0.52,0.29,2.92,0.05,0.19,0.49,0.51,1.4,3.48,2
1,Albania,2000,3089027.0,0.25,0.53,0.38,3.08,0.09,0.19,0.47,0.51,1.47,3.76,2
2,Albania,2003,3039616.0,0.45,0.55,0.36,3.82,0.29,-1.12,0.5,0.6,1.92,4.11,2
3,Albania,2004,3026939.0,0.39,0.31,0.28,4.01,0.29,-1.12,0.55,0.49,2.3,4.05,2
4,Albania,2005,3011487.0,0.36,0.38,0.3,3.83,0.25,-1.12,0.45,0.34,2.37,3.74,2
5,Albania,2006,2992547.0,0.4,0.53,0.27,3.79,0.26,-1.12,0.68,0.53,1.92,2.99,2
6,Albania,2007,2970017.0,0.27,0.41,0.33,3.78,0.44,-1.12,0.64,0.44,2.1,3.69,2
7,Albania,2008,2947314.0,0.33,0.35,0.28,3.71,0.46,-1.12,0.5,0.32,2.28,4.13,2
8,Albania,2009,2927519.0,0.36,0.18,0.14,3.77,0.55,-1.12,0.78,0.2,2.3,4.35,1
9,Albania,2010,2913021.0,0.32,0.24,0.1,3.93,0.65,-1.12,1.04,0.24,2.23,3.4,1
10,Albania,2011,2905195.0,0.31,0.23,0.13,4.14,0.9,-0.84,1.11,0.25,2.35,5.44,2
11,Albania,2012,2900401.0,0.25,0.24,0.1,3.48,1.1,-0.84,0.64,0.25,2.25,4.66,1
12,Albania,2013,2895092.0,0.32,0.22,0.05,3.65,1.15,-0.84,0.58,0.24,2.46,5.91,1
13,Albania,2014,2889104.0,0.35,0.19,0.12,4.12,1.1,-0.84,0.92,0.27,2.47,4.96,1
14,Albania,2015,2880703.0,0.37,0.17,0.08,3.82,1.25,-0.84,0.68,0.25,2.44,5.04,1
15,Albania,2016,2876101.0,0.39,0.19,0.12,3.67,1.26,-0.24,0.61,0.26,2.29,5.68,1
16,Albania,2017,2873457.0,0.45,0.2,0.23,4.34,1.26,-0.24,1.07,0.3,2.3,6.12,1
17,Albania,2018,2866376.0,0.46,0.2,0.14,4.3,1.26,-0.24,1.22,0.29,2.2,6.44,1
18,Algeria,2009,35333882.0,13.48,1.6,36.67,104.55,8.22,-2.41,9.57,3.93,30.52,28.32,1
19,Algeria,2010,35977451.0,13.24,1.6,36.44,104.89,8.25,-2.41,10.69,3.57,31.71,33.84,1
20,Algeria,2011,36661438.0,14.61,1.62,39.3,109.95,8.19,-0.63,10.8,3.96,34.22,38.13,1
21,Algeria,2012,37383899.0,16.8,1.56,43.46,118.94,7.7,-0.63,10.05,3.53,38.64,42.87,1
22,Algeria,2013,38140135.0,18.48,1.73,42.96,122.62,7.3,-0.63,10.01,4.12,40.26,45.2,1
23,Algeria,2014,38923688.0,19.21,1.67,47.86,130.45,8.36,-0.63,10.23,2.37,43.51,49.21,1
24,Algeria,2015,39728020.0,21.02,1.71,49.76,136.82,9.16,-0.63,10.8,2.49,46.41,53.46,1
25,Algeria,2016,40551398.0,21.29,1.52,47.86,134.2,9.16,0.2,10.88,2.65,45.19,55.82,1
26,Algeria,2017,41389174.0,22.4,1.53,48.09,135.95,9.16,0.2,12.02,3.33,44.69,60.28,1
27,Algeria,2018,42228415.0,26.34,1.58,48.56,142.52,9.16,0.2,12.73,4.2,45.46,62.11,1
28,Angola,1990,11848385.0,0.64,1.07,0.48,6.22,0.11,10.27,1.77,0.03,1.02,0.96,2
