,Total_Population,CO2_Emissions_by_Sector_Building,CO2_Emissions_by_Sector_Bunker_Fuels,CO2_Emissions_by_Sector_Electricity_Heat,CO2_Emissions_by_Sector_Energy,CO2_Emissions_by_Sector_Fugitive_Emissions,CO2_Emissions_by_Sector_Industrial_Processes,CO2_Emissions_by_Sector_Land_Use_Change_and_Forestry,CO2_Emissions_by_Sector_Manufacturing_Construction,CO2_Emissions_by_Sector_Other_Fuel_Combustion,CO2_Emissions_by_Sector_Transportation,Net_Electricity_Consumption,income_group
0,35977451.0,13.24,1.6,36.44,104.89,9.25,8.25,-2.41,10.69,3.57,31.71,33.84,1
1,36661438.0,14.61,1.62,39.3,109.95,7.06,8.19,-0.63,10.8,3.96,34.22,38.13,1
2,37383899.0,16.8,1.56,43.46,118.94,6.46,7.7,-0.63,10.05,3.53,38.64,42.87,1
3,38140135.0,18.48,1.73,42.96,122.62,6.78,7.3,-0.63,10.01,4.12,40.26,45.2,1
4,38923688.0,19.21,1.67,47.86,130.45,7.28,8.36,-0.63,10.23,2.37,43.51,49.21,1
5,39728020.0,21.02,1.71,49.76,136.82,6.34,9.16,-0.63,10.8,2.49,46.41,53.46,1
6,40551398.0,21.29,1.52,47.86,134.2,6.32,9.16,0.2,10.88,2.65,45.19,55.82,1
7,41389174.0,22.4,1.53,48.09,135.95,5.42,9.16,0.2,12.02,3.33,44.69,60.28,1
8,42228415.0,26.34,1.58,48.56,142.52,5.24,9.16,0.2,12.73,4.2,45.46,62.11,1
9,23356247.0,3.67,1.02,2.61,27.95,12.8,0.58,35.61,2.35,0.04,6.48,4.69,2
10,24220660.0,4.05,0.91,2.45,28.89,12.75,0.57,35.6,2.44,0.05,7.17,4.89,1
11,25107925.0,4.5,1.02,2.93,29.63,13.18,0.61,35.6,2.23,0.05,6.74,5.34,1
12,26015786.0,5.57,1.21,4.33,32.04,12.75,0.78,35.6,1.63,0.06,7.7,7.05,1
13,26941773.0,5.43,1.38,6.0,33.66,12.75,0.97,35.6,1.49,0.06,7.94,8.15,1
14,27884380.0,4.86,1.32,6.43,34.17,12.64,0.99,35.6,2.22,0.05,7.98,8.23,1
15,28842482.0,4.33,0.97,6.68,34.46,13.0,0.95,35.6,2.49,0.05,7.91,9.04,2
16,29816769.0,3.5,0.98,7.24,29.89,11.01,0.95,35.6,1.39,0.03,6.72,9.47,2
17,30809787.0,3.24,0.95,7.12,26.39,7.58,0.95,35.59,1.41,0.03,7.01,10.24,2
18,40788453.0,28.22,14.35,59.38,164.02,1.59,4.12,94.83,19.05,11.59,44.2,111.17,1
19,41261490.0,28.31,14.78,64.48,172.71,1.53,4.55,65.58,20.71,12.02,45.67,113.59,1
20,41733271.0,29.78,14.13,67.52,174.34,1.7,4.18,65.58,19.2,11.33,44.82,117.71,1
21,42202935.0,30.93,15.44,64.94,179.34,1.97,4.66,65.57,21.13,12.65,47.74,117.68,1
22,42669500.0,29.87,14.24,66.95,175.41,1.7,4.5,65.57,21.37,11.48,44.06,123.43,0
23,43131966.0,30.17,14.69,69.72,181.75,2.17,4.34,65.57,21.55,11.87,46.28,128.65,1
24,43590368.0,30.61,14.52,71.12,179.95,1.95,4.34,29.71,19.41,11.61,45.25,128.16,1
25,44044811.0,28.52,14.9,68.18,175.78,1.86,4.34,29.71,18.98,11.82,46.43,125.49,0
26,44494502.0,28.1,13.83,64.08,173.07,1.91,4.34,29.7,20.69,10.51,47.79,125.09,1
27,22031750.0,12.68,16.32,239.95,383.8,0.44,3.55,29.37,36.98,6.13,87.63,222.36,0
28,22340024.0,13.14,16.01,233.27,382.27,0.49,3.5,-29.44,39.53,6.07,89.77,223.44,0
29,22733465.0,13.4,16.49,230.76,382.25,0.49,3.52,-29.44,41.0,6.18,90.43,222.72,0
30,23128129.0,13.68,17.14,222.64,375.98,0.55,3.29,-29.44,41.01,6.27,91.83,222.69,0
31,23475686.0,14.17,17.95,212.81,366.74,0.55,3.14,-29.44,41.01,6.23,91.98,223.49,0
32,23815995.0,14.44,18.24,219.58,372.9,0.45,3.08,-29.44,37.69,6.59,94.15,225.13,0
33,24190907.0,14.83,19.24,225.68,381.03,0.45,2.93,2.19,37.5,6.98,95.59,226.54,0
34,24601860.0,14.87,20.9,226.19,384.18,0.4,3.02,2.19,37.55,7.5,97.68,231.32,0
35,24982688.0,15.1,21.82,221.26,383.6,0.72,3.02,2.19,39.32,7.56,99.64,234.26,0
36,9173082.0,6.18,2.4,11.66,28.09,1.64,0.47,-2.85,1.73,1.1,5.79,14.56,1
37,9295784.0,5.21,2.27,13.98,30.1,1.2,0.66,-2.85,2.18,1.13,6.4,17.79,1
38,9416801.0,5.06,2.33,13.76,30.67,1.2,0.72,-2.85,2.2,1.16,7.29,18.39,1
39,9535079.0,5.61,2.19,14.23,31.72,0.93,0.9,-2.85,2.3,1.12,7.54,19.59,1
40,9649341.0,5.99,1.91,14.42,31.35,0.54,0.82,-2.85,2.32,1.09,6.98,20.27,1
41,9757812.0,6.72,1.55,14.33,31.95,0.54,0.71,-1.92,2.79,1.01,6.55,20.24,1
42,9854033.0,6.14,1.53,14.28,31.26,0.45,0.71,-1.92,1.75,1.04,7.6,19.54,1
43,9939771.0,6.3,1.48,14.28,31.31,0.36,0.71,-1.92,1.32,1.15,7.9,20.29,1
44,10048597.0,1.28,0.49,4.3,14.09,0.27,0.95,56.89,1.57,0.27,6.4,5.66,2
45,10212951.0,1.34,0.49,4.58,15.4,0.38,1.04,59.78,1.75,0.3,7.06,6.08,2
46,10377677.0,1.38,0.44,4.61,16.18,0.44,1.06,59.78,1.88,0.31,7.56,6.43,2
47,10542375.0,1.44,0.51,4.7,17.35,0.44,1.22,59.78,2.08,0.35,8.35,6.89,2
48,10706517.0,1.51,0.59,5.37,18.79,0.38,1.38,59.78,2.24,0.37,8.92,7.27,2
49,10869732.0,1.59,0.63,5.3,18.98,0.34,1.43,59.78,2.25,0.37,9.13,7.81,2
50,11031822.0,1.66,0.63,6.05,20.12,0.27,1.49,67.38,2.27,0.37,9.5,7.91,2
51,11192853.0,1.71,0.64,6.04,20.76,0.18,1.49,67.38,2.35,0.39,10.1,8.12,2
52,11353140.0,1.78,0.66,5.92,21.22,0.18,1.49,67.38,2.38,0.41,10.55,8.32,2
53,195713637.0,19.85,24.02,69.68,376.44,4.43,21.29,1101.12,96.44,18.19,167.85,455.65,1
54,197514541.0,20.14,23.21,63.38,394.27,3.23,22.85,261.99,105.72,16.78,185.02,471.48,1
55,199287292.0,20.08,24.13,82.23,426.76,2.68,25.0,261.99,101.91,17.46,202.41,488.78,1
56,201035904.0,20.39,24.46,107.07,456.21,2.41,26.65,261.99,99.23,17.48,209.63,504.71,1
57,202763744.0,20.47,25.63,125.82,480.47,2.95,26.31,261.99,97.98,18.18,215.07,518.34,1
58,204471759.0,20.22,25.58,120.7,456.21,2.53,23.77,261.99,94.59,18.31,199.86,510.03,1
59,206163056.0,20.41,24.68,96.39,420.96,2.67,20.95,384.3,84.69,17.92,198.89,510.44,1
60,207833825.0,20.48,25.78,97.86,430.54,2.49,19.3,384.3,90.5,19.18,200.02,516.22,1
61,209469320.0,20.38,26.27,88.44,408.78,2.53,18.93,384.31,86.98,18.78,191.66,528.09,1
62,23298376.0,0.47,0.31,2.02,7.39,1.44,0.62,33.71,0.22,0.09,3.14,6.05,2
63,23926549.0,0.47,0.07,2.13,7.54,1.44,1.01,33.78,0.23,0.09,3.18,5.24,2
64,24566070.0,0.45,0.05,2.26,7.31,1.35,1.01,33.78,0.23,0.08,2.94,6.06,2
65,25216261.0,0.44,0.05,2.64,7.61,1.35,1.01,33.76,0.24,0.08,2.87,6.49,2
66,34004889.0,67.74,17.46,207.81,528.99,2.79,6.04,301.25,61.91,14.05,174.68,531.21,0
67,34339328.0,72.9,18.79,209.0,541.66,3.01,6.06,135.16,66.04,15.65,175.06,549.45,0
68,34714222.0,67.61,18.34,210.44,540.57,3.34,6.56,135.17,67.07,15.33,176.78,540.11,0
69,35082954.0,70.48,18.54,213.48,550.37,3.39,5.98,135.18,65.15,16.06,181.81,561.07,0
70,35437435.0,74.32,19.47,216.06,555.89,3.67,5.95,135.19,64.4,17.01,180.43,557.58,0
71,35702908.0,70.73,19.91,216.26,552.54,3.25,6.26,135.19,64.97,17.32,180.01,544.09,0
72,36109487.0,66.47,19.36,212.67,544.28,2.35,6.19,35.11,64.5,17.47,180.83,549.53,0
73,36545236.0,69.95,19.89,211.98,555.51,2.44,6.75,35.13,67.91,17.98,185.25,547.68,0
74,37065084.0,75.68,21.41,209.54,567.65,2.42,6.75,35.27,69.17,18.74,192.11,554.72,0
75,17062531.0,5.09,1.54,27.46,68.65,0.05,1.07,-36.09,13.72,0.89,21.44,54.08,1
76,17233584.0,5.87,1.32,32.47,75.37,0.05,1.1,-81.35,13.97,1.15,21.86,59.3,1
77,17400359.0,5.37,2.13,36.97,77.34,0.11,1.15,-81.35,11.59,0.88,22.43,63.43,0
78,17571511.0,5.4,1.89,38.46,81.97,0.11,0.97,-81.35,12.85,0.67,24.49,65.14,0
79,17758969.0,4.83,1.96,32.5,75.51,0.05,0.87,-81.35,13.97,0.6,23.57,63.41,0
80,17969356.0,4.85,1.7,35.34,81.13,0.04,0.84,-81.35,15.02,0.66,25.23,68.63,0
81,18209072.0,5.91,1.75,37.14,85.28,0.04,0.88,-57.87,14.99,0.82,26.38,73.22,0
82,18470435.0,6.46,2.53,36.51,86.16,0.02,0.88,-57.87,14.4,1.4,27.38,72.03,0
83,18729166.0,6.58,2.75,35.01,85.73,0.02,0.88,-57.86,14.32,1.48,28.33,75.58,0
84,1379860000.0,510.54,132.16,4580.61,9096.74,3.43,733.7,-710.17,2972.98,202.03,827.14,5250.58,1
85,1387790000.0,525.09,137.72,4637.77,9057.91,3.43,756.4,-650.1,2846.38,201.83,843.42,5565.16,1
86,1396215000.0,533.08,143.04,4904.12,9248.47,2.89,769.3,-650.1,2734.18,193.31,880.9,5953.58,1
